Subject,Scenario,Accuracy,F1,AUROC,RS
2,Full,0.7571428571428571,0.7277510867078472,0.8026607538802661,1.0
2,No ECG + No EDA,0.7428571428571429,0.7267404033832141,0.7373737373737373,0.9986112238880946
2,No ECG + No Respiration,0.7714285714285715,0.7632635806383429,0.7499384084749939,1.048797582826217
2,No ECG + No Temperature,0.8357142857142857,0.8186017689144274,0.9100763734910077,1.1248375768390324
2,No EDA + No Respiration,0.5642857142857143,0.4621827571005731,0.7048534121704854,0.6350835684648239
2,No EDA + No Temperature,0.6428571428571429,0.391304347826087,0.7654594727765459,0.5376898158905458
2,No Respiration + No Temperature,0.7142857142857143,0.5856762355726546,0.49987681694998765,0.8047754874844619
2,Only ECG,0.6428571428571429,0.391304347826087,0.23527962552352794,0.5376898158905458
2,Only EDA,0.5571428571428572,0.5556920556920557,0.8354274451835427,0.763574339965412
2,Only Respiration,0.8,0.7707602339181286,0.8694259669869426,1.0590987055819365
2,Only Temperature,0.7785714285714286,0.7700174871495946,0.7031288494703128,1.0580781000725803
3,Full,0.8732394366197183,0.8259803921568627,0.9323809523809523,1.0
3,No ECG + No EDA,0.6549295774647887,0.5829287298447521,0.7847619047619048,0.705741607645872
3,No ECG + No Respiration,0.8380281690140845,0.806916937629323,0.8873809523809524,0.9769202093553823
3,No ECG + No Temperature,0.8380281690140845,0.806916937629323,0.8361904761904762,0.9769202093553823
3,No EDA + No Respiration,0.8380281690140845,0.7654241183652948,0.9188095238095237,0.9266855795045706
3,No EDA + No Temperature,0.8169014084507042,0.725297619047619,0.8466666666666666,0.878105129292073
3,No Respiration + No Temperature,0.852112676056338,0.7948964853153586,0.9485714285714285,0.9623672581859535
3,Only ECG,0.8169014084507042,0.725297619047619,0.9180952380952381,0.878105129292073
3,Only EDA,0.8380281690140845,0.806916937629323,0.9073809523809524,0.9769202093553823
3,Only Respiration,0.704225352112676,0.4132231404958678,0.30761904761904757,0.5002820217279349
3,Only Temperature,0.676056338028169,0.6302083333333333,0.8066666666666666,0.7629821958456973
4,Full,0.9300699300699301,0.9071910695742471,0.9980870396939264,1.0
4,No ECG + No EDA,0.8881118881118881,0.8758141554494139,0.9909134385461501,0.9654131139765753
4,No ECG + No Respiration,0.9790209790209791,0.9748902546093063,1.0,1.074625056733452
4,No ECG + No Temperature,0.9020979020979021,0.8902412280701755,0.9916307986609277,0.9813161283520722
4,No EDA + No Respiration,0.7552447552447552,0.5544378171459093,0.9980870396939264,0.6111588128905545
4,No EDA + No Temperature,0.7622377622377622,0.5744047619047619,0.7989000478240076,0.6331684483780634
4,No Respiration + No Temperature,0.7692307692307693,0.593645052957892,0.9925872788139646,0.654377090855287
