Scenario,Accuracy,F1,AUROC,RS
Full,0.7571428571428571,0.7277510867078472,0.8026607538802661,1.0
No ECG,0.7642857142857142,0.7521326251408338,0.7984725301798472,1.033502579217411
No EDA,0.6857142857142857,0.6258503401360545,0.7521557033752156,0.8599785717493537
No Respiration,0.6428571428571429,0.5952821461609621,0.7578221236757823,0.8179749326845537
No Temperature,0.7214285714285714,0.591286772962048,0.8290219265829022,0.8124849055696673
