,Scenario,Mean,95CI
0,No ECG,10.507251946127896,8.159614968130406
1,No EDA,3.3354471422266823,4.641460799687184
2,No Respiration,1.069998811572649,2.695548395879784
3,No Temperature,4.761905831954057,5.145162431750866
