Subject,Scenario,Accuracy,F1,AUROC,RS
10,No Respiration,0.8866666666666667,0.8562489430069338,0.9070439991737245,1.0258703659480854
10,No Temperature,0.68,0.6580547112462005,0.6988225573228671,0.7884142023805508
11,Full,1.0,1.0,1.0,1.0
11,No ECG,0.8367346938775511,0.8163265306122449,0.884313725490196,0.8163265306122449
11,No EDA,1.0,1.0,1.0,1.0
11,No Respiration,0.9863945578231292,0.9841799397331037,1.0,0.9841799397331037
11,No Temperature,1.0,1.0,1.0,1.0
13,Full,0.9523809523809523,0.9449526560744663,0.9908318425760286,1.0
13,No ECG,0.9183673469387755,0.8985273815002301,0.9727191413237924,0.9508702639483584
13,No EDA,0.9183673469387755,0.9081632653061225,0.9926207513416816,0.9610674772626443
13,No Respiration,0.9319727891156463,0.9226641414141414,0.9915026833631485,0.9764130885107873
13,No Temperature,0.9183673469387755,0.8969626168224298,0.9470035778175313,0.9492143453499593
14,Full,0.8503401360544217,0.8413461538461539,0.9854030501089325,1.0
14,No ECG,0.6394557823129252,0.6391886259435928,0.8562091503267973,0.7597213382643846
14,No EDA,0.9251700680272109,0.9162393162393162,0.9912854030501089,1.089015873015873
14,No Respiration,0.8503401360544217,0.8413461538461539,0.9897603485838781,1.0
14,No Temperature,0.9183673469387755,0.9099264705882353,0.9849673202614379,1.0815126050420167
15,Full,0.8435374149659864,0.8009420076538122,0.9424095322153574,1.0
15,No ECG,0.7891156462585034,0.7121834143876713,0.93909973521624,0.8891822473812553
15,No EDA,0.9251700680272109,0.9047983514866058,0.9902912621359224,1.1296677447809467
15,No Respiration,0.8571428571428571,0.81524926686217,0.937775816416593,1.0178630401098177
15,No Temperature,0.7551020408163265,0.6908878504672897,0.7566195939982348,0.8625941002783678
16,Full,0.9523809523809523,0.946151028311267,0.9943355119825709,1.0
16,No ECG,0.8231292517006803,0.8148973266175901,0.884313725490196,0.8612761622973191
16,No EDA,0.9523809523809523,0.946151028311267,0.9884531590413943,1.0
16,No Respiration,0.9523809523809523,0.946151028311267,0.9958605664488017,1.0
16,No Temperature,0.9591836734693877,0.9535984848484849,0.9906318082788671,1.007871318969563
17,Full,0.9733333333333334,0.9693627450980392,0.9933897954967982,1.0
17,No ECG,0.9333333333333333,0.9264128728414442,0.9834744887419955,0.9556926728680386
17,No EDA,0.9866666666666667,0.9845073331956207,0.9977277422020244,1.015623241324433
17,No Respiration,0.9866666666666667,0.9846813725490196,0.9985540177649246,1.015802781289507
17,No Temperature,0.96,0.954536269953526,0.9882255732286718,0.9847049257674807
