subject,val_subject,val_f1,accuracy,f1_macro,auroc,train_time_sec
2,17,0.9846813725490196,0.7571428571428571,0.7277510867078472,0.8026607538802661,527.0780518054962
3,17,0.9846813725490196,0.8732394366197183,0.8259803921568627,0.9323809523809523,539.332789182663
4,17,0.9922978177150192,0.9300699300699301,0.9071910695742471,0.9980870396939264,184.0018858909607
5,17,0.9846813725490196,0.9178082191780822,0.8950395398993529,0.9663461538461539,170.784925699234
6,17,0.9771469199126505,0.8896551724137931,0.8711111111111112,0.961468308253534,167.05970978736877
7,17,0.9922978177150192,0.993103448275862,0.9915604446772597,0.9997688395746648,131.95507550239563
8,17,0.9846813725490196,0.9931506849315068,0.991918968284718,1.0,202.86521220207214
9,17,0.9846813725490196,0.6620689655172414,0.6311198795493485,0.7512539899680801,868.8185887336731
10,17,0.9768934531450577,0.8666666666666667,0.8346560846560847,0.9033257591406735,194.33167457580566
11,17,0.9922978177150192,1.0,1.0,1.0,237.4893662929535
13,17,0.9846813725490196,0.9523809523809523,0.9449526560744663,0.9908318425760286,150.57198214530945
14,17,0.9846813725490196,0.8503401360544217,0.8413461538461539,0.9854030501089325,142.01260924339294
15,17,0.9768934531450577,0.8435374149659864,0.8009420076538122,0.9424095322153574,299.63198709487915
16,17,0.9922978177150192,0.9523809523809523,0.946151028311267,0.9943355119825709,265.3727614879608
17,16,0.9920424403183024,0.9733333333333334,0.9693627450980392,0.9933897954967982,317.65325593948364
