subject,val_subject,val_f1,accuracy,f1_macro,auroc,train_time_sec
2,17,0.9922978177150192,0.7714285714285715,0.7604278074866311,0.8955407735895541,1243.521281003952
3,17,1.0,0.8380281690140845,0.7654241183652948,0.9621428571428571,179.84180068969727
4,17,1.0,0.8111888111888111,0.6961038961038961,0.9992826398852224,318.4670321941376
5,17,0.9922978177150192,0.9315068493150684,0.9110623781676414,0.990613553113553,701.0620980262756
6,17,0.9922978177150192,0.8896551724137931,0.861904761904762,0.9671682626538987,528.5944764614105
7,17,1.0,0.993103448275862,0.9915604446772597,1.0,637.7157745361328
8,17,0.9846813725490196,0.9041095890410958,0.89453044375645,0.9991087344028521,889.7898082733154
9,17,1.0,0.7103448275862069,0.4373614190687361,0.8499772001823985,613.7754166126251
10,17,0.9922978177150192,0.9066666666666666,0.8825240545983442,0.9878124354472217,656.0067405700684
11,17,0.9846813725490196,0.9795918367346939,0.9764082811747713,0.9997821350762528,567.8109123706818
13,17,0.9922081969767804,0.9387755102040817,0.9300185136207353,0.9975402504472273,289.3622431755066
14,17,0.9846813725490196,0.9727891156462585,0.9687234042553192,0.9947712418300654,255.56681895256042
15,17,0.9845073331956207,0.8163265306122449,0.7390360970478006,0.9212268314210061,292.1591365337372
16,17,1.0,0.9727891156462585,0.9687234042553192,0.9997821350762528,174.95368647575378
17,16,0.9920424403183024,0.96,0.9535219995868622,0.9931832266060732,140.7236168384552
