Model,Mean_F1,Std_F1,Mean_AUROC,Mean_Accuracy,Mean_TrainTime_sec
Handcrafted + SVM,0.8746478948943995,0.07710195506721171,0.9720477727799918,0.8952312549020545,
CNN,0.849155401604655,0.1487262441031393,0.9705288184582954,0.8930869475849131,499.29005618095397
CNN-LSTM,0.8786055445067047,0.10515532795660282,0.9481107686078626,0.8969918779954202,293.2639917055766
